11-22 23:20:06.432 0    INFO  [main] org.springframework.context.support.ClassPathXmlApplicationContext     - Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@92a78b: startup date [Sun Nov 22 23:20:06 CST 2015]; root of context hierarchy
 11-22 23:20:06.503 71   INFO  [main] org.springframework.beans.factory.xml.XmlBeanDefinitionReader     - Loading XML bean definitions from class path resource [yihunli-account.xml]
 11-22 23:20:06.821 389  INFO  [main]               com.mchange.v2.log.MLog     - MLog clients using log4j logging.
 11-22 23:20:06.974 542  INFO  [main]      com.mchange.v2.c3p0.C3P0Registry     - Initializing c3p0-0.9.2.1 [built 20-March-2013 10:47:27 +0000; debug? true; trace: 10]
 11-22 23:20:07.376 944  INFO  [main] org.hibernate.annotations.common.Version     - HCANN000001: Hibernate Commons Annotations {4.0.5.Final}
 11-22 23:20:07.388 956  INFO  [main]                 org.hibernate.Version     - HHH000412: Hibernate Core {4.3.10.Final}
 11-22 23:20:07.390 958  INFO  [main]         org.hibernate.cfg.Environment     - HHH000206: hibernate.properties not found
 11-22 23:20:07.392 960  INFO  [main]         org.hibernate.cfg.Environment     - HHH000021: Bytecode provider name : javassist
 11-22 23:20:07.606 1174 INFO  [main] com.mchange.v2.c3p0.impl.AbstractPoolBackedDataSource     - Initializing c3p0 pool... com.mchange.v2.c3p0.ComboPooledDataSource [ acquireIncrement -> 3, acquireRetryAttempts -> 30, acquireRetryDelay -> 1000, autoCommitOnClose -> false, automaticTestTable -> null, breakAfterAcquireFailure -> false, checkoutTimeout -> 0, connectionCustomizerClassName -> null, connectionTesterClassName -> com.mchange.v2.c3p0.impl.DefaultConnectionTester, dataSourceName -> 1hge0z79dd99o7b1vpumuu|1c4c648, debugUnreturnedConnectionStackTraces -> false, description -> null, driverClass -> com.mysql.jdbc.Driver, factoryClassLocation -> null, forceIgnoreUnresolvedTransactions -> false, identityToken -> 1hge0z79dd99o7b1vpumuu|1c4c648, idleConnectionTestPeriod -> 0, initialPoolSize -> 5, jdbcUrl -> jdbc:mysql://112.124.1.214:3306/ewedding, maxAdministrativeTaskTime -> 0, maxConnectionAge -> 0, maxIdleTime -> 30, maxIdleTimeExcessConnections -> 0, maxPoolSize -> 20, maxStatements -> 0, maxStatementsPerConnection -> 0, minPoolSize -> 10, numHelperThreads -> 3, preferredTestQuery -> null, properties -> {user=******, password=******}, propertyCycle -> 0, statementCacheNumDeferredCloseThreads -> 0, testConnectionOnCheckin -> false, testConnectionOnCheckout -> false, unreturnedConnectionTimeout -> 0, userOverrides -> {}, usesTraditionalReflectiveProxies -> false ]
 11-22 23:20:08.522 2090 INFO  [main]         org.hibernate.dialect.Dialect     - HHH000400: Using dialect: org.hibernate.dialect.MySQL5InnoDBDialect
 11-22 23:20:08.531 2099 INFO  [main] org.hibernate.engine.jdbc.internal.LobCreatorBuilder     - HHH000423: Disabling contextual LOB creation as JDBC driver reported JDBC version [3] less than 4
 11-22 23:20:08.700 2268 INFO  [main] org.hibernate.engine.transaction.internal.TransactionFactoryInitiator     - HHH000399: Using default transaction strategy (direct JDBC transactions)
 11-22 23:20:08.704 2272 INFO  [main] org.hibernate.hql.internal.ast.ASTQueryTranslatorFactory     - HHH000397: Using ASTQueryTranslatorFactory
 11-22 23:20:09.115 2683 INFO  [main] org.hibernate.tool.hbm2ddl.SchemaUpdate     - HHH000228: Running hbm2ddl schema update
 11-22 23:20:09.115 2683 INFO  [main] org.hibernate.tool.hbm2ddl.SchemaUpdate     - HHH000102: Fetching database metadata
 11-22 23:20:09.118 2686 INFO  [main] org.hibernate.tool.hbm2ddl.SchemaUpdate     - HHH000396: Updating schema
 11-22 23:20:09.404 2972 INFO  [main] org.hibernate.tool.hbm2ddl.TableMetadata     - HHH000261: Table found: ewedding.individual_inf
 11-22 23:20:09.407 2975 INFO  [main] org.hibernate.tool.hbm2ddl.TableMetadata     - HHH000037: Columns: [phonenumber, username, email, image, address_province, realname, entity_id, password, address_city, entitytype, address_county]
 11-22 23:20:09.407 2975 INFO  [main] org.hibernate.tool.hbm2ddl.TableMetadata     - HHH000108: Foreign keys: []
 11-22 23:20:09.407 2975 INFO  [main] org.hibernate.tool.hbm2ddl.TableMetadata     - HHH000126: Indexes: [primary]
 11-22 23:20:09.621 3189 INFO  [main] org.hibernate.tool.hbm2ddl.TableMetadata     - HHH000261: Table found: ewedding.merchant_inf
 11-22 23:20:09.621 3189 INFO  [main] org.hibernate.tool.hbm2ddl.TableMetadata     - HHH000037: Columns: [phonenumber, merchanttype, address_province, businessscope, entity_id, companyname, address_city, password, companyintroduce, username, trademark, servicetel, email, realname, entitytype, address_county]
 11-22 23:20:09.621 3189 INFO  [main] org.hibernate.tool.hbm2ddl.TableMetadata     - HHH000108: Foreign keys: []
 11-22 23:20:09.622 3190 INFO  [main] org.hibernate.tool.hbm2ddl.TableMetadata     - HHH000126: Indexes: [primary]
 11-22 23:20:09.840 3408 INFO  [main] org.hibernate.tool.hbm2ddl.TableMetadata     - HHH000261: Table found: ewedding.userentity_inf
 11-22 23:20:09.840 3408 INFO  [main] org.hibernate.tool.hbm2ddl.TableMetadata     - HHH000037: Columns: [phonenumber, username, email, address_province, realname, entity_id, password, address_city, entitytype, address_county]
 11-22 23:20:09.840 3408 INFO  [main] org.hibernate.tool.hbm2ddl.TableMetadata     - HHH000108: Foreign keys: []
 11-22 23:20:09.840 3408 INFO  [main] org.hibernate.tool.hbm2ddl.TableMetadata     - HHH000126: Indexes: [primary]
 11-22 23:20:10.030 3598 INFO  [main] org.hibernate.tool.hbm2ddl.TableMetadata     - HHH000261: Table found: ewedding.hibernate_unique_key
